bilmerke;alder;Registrerte personbiler 2019;Registrerte varebiler 2019
Cuby;4 - 7 år;0;0
Cuby;8 - 11 år;0;0
Cuby;12 - 15 år;0;0
Cuby;16 - 20 år;0;0
Cuby;Over 20 år;0;0
Dacia;Under 4 år;531;4
Dacia;4 - 7 år;771;19
Dacia;8 - 11 år;33;4
Dacia;12 - 15 år;4;0
Dacia;16 - 20 år;0;0
Dacia;Over 20 år;0;0
Daewoo;Under 4 år;0;0
Daewoo;4 - 7 år;0;0
Daewoo;8 - 11 år;0;0
Daewoo;12 - 15 år;1;0
Daewoo;16 - 20 år;121;15
Daewoo;Over 20 år;69;1
Daf;Under 4 år;0;0
Daf;4 - 7 år;0;0
Daf;8 - 11 år;0;0
Daf;12 - 15 år;0;0
Daf;16 - 20 år;0;0
Daf;Over 20 år;45;1
Daihatsu;Under 4 år;0;0
Daihatsu;4 - 7 år;0;0
Daihatsu;8 - 11 år;148;0
Daihatsu;12 - 15 år;1605;0
Daihatsu;16 - 20 år;606;10
Daihatsu;Over 20 år;333;171
Daimler;Under 4 år;0;0
Daimler;4 - 7 år;0;0
Daimler;8 - 11 år;0;2
Daimler;12 - 15 år;3;0
Daimler;16 - 20 år;17;7
Daimler;Over 20 år;130;6
Dangel;Under 4 år;31;2327
Dangel;4 - 7 år;19;2746
Dangel;8 - 11 år;18;1187
Dangel;12 - 15 år;120;1156
Dangel;16 - 20 år;0;0
Dangel;Over 20 år;0;0
Datsun;Under 4 år;0;0
Datsun;4 - 7 år;0;0
Datsun;8 - 11 år;0;0
Datsun;12 - 15 år;0;0
Datsun;16 - 20 år;1;0
Datsun;Over 20 år;630;63
Dax;Under 4 år;0;0
Dax;4 - 7 år;0;0
Dax;8 - 11 år;0;0
Dax;12 - 15 år;0;0
Dax;16 - 20 år;0;0
Dax;Over 20 år;2;0
De Soto;Under 4 år;0;0
De Soto;4 - 7 år;0;0
De Soto;8 - 11 år;0;0
De Soto;12 - 15 år;0;0
De Soto;16 - 20 år;0;0
De Soto;Over 20 år;129;1
